"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Date","Value","Flag Codes"
"KOR","HUR","TOT","PC_LF","Q","2009-Q1",3.4,
"KOR","HUR","TOT","PC_LF","Q","2009-Q2",3.833333,
"KOR","HUR","TOT","PC_LF","Q","2009-Q3",3.733333,
"KOR","HUR","TOT","PC_LF","Q","2009-Q4",3.633333,
"KOR","HUR","TOT","PC_LF","Q","2010-Q1",4.133333,
"KOR","HUR","TOT","PC_LF","Q","2010-Q2",3.433333,
"KOR","HUR","TOT","PC_LF","Q","2010-Q3",3.7,
"KOR","HUR","TOT","PC_LF","Q","2010-Q4",3.566667,
"KOR","HUR","TOT","PC_LF","Q","2011-Q1",3.666667,
"KOR","HUR","TOT","PC_LF","Q","2011-Q2",3.366667,
"KOR","HUR","TOT","PC_LF","Q","2011-Q3",3.266667,
"KOR","HUR","TOT","PC_LF","Q","2011-Q4",3.233333,
"KOR","HUR","TOT","PC_LF","Q","2012-Q1",3.3,
"KOR","HUR","TOT","PC_LF","Q","2012-Q2",3.2,
"KOR","HUR","TOT","PC_LF","Q","2012-Q3",3.166667,
"KOR","HUR","TOT","PC_LF","Q","2012-Q4",3.133333,
"KOR","HUR","TOT","PC_LF","Q","2013-Q1",3.166667,
"KOR","HUR","TOT","PC_LF","Q","2013-Q2",3.033333,
"KOR","HUR","TOT","PC_LF","Q","2013-Q3",3.133333,
"KOR","HUR","TOT","PC_LF","Q","2013-Q4",3.133333,
"KOR","HUR","TOT","PC_LF","Q","2014-Q1",3.4,
"KOR","HUR","TOT","PC_LF","Q","2014-Q2",3.533333,
"KOR","HUR","TOT","PC_LF","Q","2014-Q3",3.533333,
"KOR","HUR","TOT","PC_LF","Q","2014-Q4",3.566667,
"KOR","HUR","TOT","PC_LF","Q","2015-Q1",3.533333,
"KOR","HUR","TOT","PC_LF","Q","2015-Q2",3.7,
"KOR","HUR","TOT","PC_LF","Q","2015-Q3",3.633333,
"KOR","HUR","TOT","PC_LF","Q","2015-Q4",3.533333,
"KOR","HUR","TOT","PC_LF","Q","2016-Q1",3.7,
"KOR","HUR","TOT","PC_LF","Q","2016-Q2",3.566667,
"KOR","HUR","TOT","PC_LF","Q","2016-Q3",3.866667,
"KOR","HUR","TOT","PC_LF","Q","2016-Q4",3.6,
"KOR","HUR","TOT","PC_LF","Q","2017-Q1",3.666667,
"KOR","HUR","TOT","PC_LF","Q","2017-Q2",3.7,
"KOR","HUR","TOT","PC_LF","Q","2017-Q3",3.733333,
"KOR","HUR","TOT","PC_LF","Q","2017-Q4",3.666667,
"KOR","HUR","TOT","PC_LF","Q","2018-Q1",3.7,
"KOR","HUR","TOT","PC_LF","Q","2018-Q2",3.733333,
"KOR","HUR","TOT","PC_LF","Q","2018-Q3",4.166667,
"KOR","HUR","TOT","PC_LF","Q","2018-Q4",3.866667,
"KOR","HUR","TOT","PC_LF","Q","2019-Q1",3.866667,
"KOR","HUR","TOT","PC_LF","Q","2019-Q2",3.966667,
"KOR","HUR","TOT","PC_LF","Q","2019-Q3",3.666667,
"KOR","HUR","TOT","PC_LF","Q","2019-Q4",3.566667,
"KOR","HUR","TOT","PC_LF","Q","2020-Q1",3.6,
"KOR","HUR","TOT","PC_LF","Q","2020-Q2",4.133333,
"KOR","HUR","TOT","PC_LF","Q","2020-Q3",4,
"KOR","HUR","TOT","PC_LF","Q","2020-Q4",4.233333,
"KOR","HUR","TOT","PC_LF","Q","2021-Q1",4.266667,
"KOR","HUR","TOT","PC_LF","Q","2021-Q2",3.766667,
"KOR","HUR","TOT","PC_LF","Q","2021-Q3",3.166667,
"KOR","HUR","TOT","PC_LF","Q","2021-Q4",3.3,
"KOR","HUR","TOT","PC_LF","Q","2022-Q1",2.966667,
"KOR","HUR","TOT","PC_LF","Q","2022-Q2",2.866667,
"KOR","HUR","TOT","PC_LF","Q","2022-Q3",2.766667,
"KOR","HUR","TOT","PC_LF","Q","2022-Q4",2.9